library,loc,fut,turbo_input,turbo_output,s500_input,s500_output,s1000_input,s1000_output,agent_input,agent_output
glob,314,21,13231,36100,41646,139418,59113,176873,245026,4298
graceful-fs,208,187,61171,194400,307797,1129321,339628,1272967,249012,7493
jsonfile,46,4,4914,12000,10565,40784,7778,33644,293908,18316
q,736,98,99506,225050,223530,772962,426052,737515,442940,5312
node-dir,244,6,29533,29000,48085,145487,53897,172717,260967,8738
zip-a-folder,25,3,3303,6500,4358,18311,4660,20318,89143,5096
quill-delta,395,36,73843,101500,103769,328111,178494,332633,424574,10601
complex.js,393,52,47742,155450,130110,368497,129714,366878,383618,4070
pull-stream,308,24,21127,49750,46057,184850,49659,202375,398112,11511
countries-and-timezones,78,7,7276,19500,20545,56526,23378,60499,457902,2441
simple-statistics,917,89,111919,223000,296359,803739,288468,807510,501175,8006
plural,53,4,2391,9000,9095,24651,9754,25401,191699,5566
dirty,89,34,29510,50050,138020,297734,166659,342335,403842,8144
geo-point,76,19,17639,40550,45073,150066,46736,159234,244851,6343
uneval,31,1,2433,3950,3881,10889,4539,12830,2570912,2795
image-downloader,32,1,1542,2500,2160,10135,3960,17060,159564,6379
crawler-url-parser,100,3,11390,12000,15929,51766,16990,58673,398540,7904
gitlab-js,205,37,27080,80100,234459,328067,105977,330378,306976,7155
core,136,20,46817,61750,65980,205518,64870,206618,319778,7821
omnitool,1603,270,270310,667300,627120,1845725,627164,1884785,621025,14131
